tensor([82.2077], device='cuda:1')
tensor([82.1597], device='cuda:1')
tensor([82.4099], device='cuda:1')
tensor([81.8451], device='cuda:1')
tensor([81.8040], device='cuda:1')
tensor([82.2090], device='cuda:1')
tensor([82.0028], device='cuda:1')
tensor([82.2595], device='cuda:1')
tensor([81.9607], device='cuda:1')
tensor([82.0298], device='cuda:1')
tensor([81.6502], device='cuda:1')
tensor([81.5639], device='cuda:1')
tensor([81.3158], device='cuda:1')
tensor([81.5204], device='cuda:1')
tensor([81.7254], device='cuda:1')
tensor([81.5555], device='cuda:1')
tensor([81.6482], device='cuda:1')
tensor([81.9001], device='cuda:1')
tensor([81.4506], device='cuda:1')
tensor([81.8625], device='cuda:1')
tensor([81.3158], device='cuda:1')
tensor([82.0246], device='cuda:1')
tensor([81.6850], device='cuda:1')
tensor([81.9244], device='cuda:1')
tensor([81.8871], device='cuda:1')
tensor([81.3536], device='cuda:1')
tensor([81.7152], device='cuda:1')
tensor([81.7885], device='cuda:1')
tensor([81.4204], device='cuda:1')
tensor([81.1340], device='cuda:1')
tensor([81.4153], device='cuda:1')
tensor([81.4876], device='cuda:1')
tensor([81.1564], device='cuda:1')
tensor([80.9547], device='cuda:1')
tensor([81.4318], device='cuda:1')
tensor([81.5087], device='cuda:1')
tensor([81.7696], device='cuda:1')
tensor([81.2636], device='cuda:1')
tensor([81.4523], device='cuda:1')
tensor([80.4901], device='cuda:1')
tensor([80.1996], device='cuda:1')
tensor([80.7303], device='cuda:1')
tensor([81.0713], device='cuda:1')
tensor([80.9525], device='cuda:1')
tensor([81.1719], device='cuda:1')
tensor([80.3163], device='cuda:1')
tensor([80.4070], device='cuda:1')
tensor([80.6211], device='cuda:1')
tensor([81.4340], device='cuda:1')
tensor([80.5751], device='cuda:1')
tensor([80.4546], device='cuda:1')
tensor([80.1622], device='cuda:1')
tensor([81.1606], device='cuda:1')
tensor([80.8898], device='cuda:1')
tensor([80.9133], device='cuda:1')
tensor([80.8848], device='cuda:1')
tensor([80.4309], device='cuda:1')
tensor([79.9577], device='cuda:1')
tensor([79.4279], device='cuda:1')
tensor([80.1490], device='cuda:1')
tensor([77.7863], device='cuda:1')
tensor([76.0610], device='cuda:1')
tensor([76.2449], device='cuda:1')
tensor([76.3363], device='cuda:1')
tensor([74.2757], device='cuda:1')
tensor([69.7188], device='cuda:1')
tensor([72.6848], device='cuda:1')
tensor([71.7211], device='cuda:1')
tensor([69.8684], device='cuda:1')
tensor([69.3845], device='cuda:1')
tensor([68.2868], device='cuda:1')
tensor([66.0543], device='cuda:1')
tensor([64.2198], device='cuda:1')
tensor([66.0229], device='cuda:1')
tensor([64.1019], device='cuda:1')
tensor([62.3463], device='cuda:1')
tensor([62.2840], device='cuda:1')
tensor([56.6221], device='cuda:1')
tensor([57.8458], device='cuda:1')
tensor([57.3759], device='cuda:1')
tensor([50.5503], device='cuda:1')
tensor([56.5406], device='cuda:1')
tensor([47.2694], device='cuda:1')
tensor([42.5064], device='cuda:1')
tensor([31.4822], device='cuda:1')
tensor([27.5939], device='cuda:1')
tensor([26.7330], device='cuda:1')
tensor([25.3395], device='cuda:1')
tensor([25.1319], device='cuda:1')
tensor([25.4103], device='cuda:1')
tensor([24.1277], device='cuda:1')
tensor([16.1772], device='cuda:1')
tensor([14.0416], device='cuda:1')
tensor([15.0878], device='cuda:1')
tensor([20.9104], device='cuda:1')
tensor([19.7622], device='cuda:1')
tensor([19.4863], device='cuda:1')
tensor([21.5053], device='cuda:1')
tensor([26.0678], device='cuda:1')
tensor([21.9872], device='cuda:1')
tensor([19.4510], device='cuda:1')
tensor([21.7439], device='cuda:1')
tensor([17.4115], device='cuda:1')
tensor([13.4163], device='cuda:1')
tensor([15.3205], device='cuda:1')
tensor([12.5756], device='cuda:1')
tensor([10.9470], device='cuda:1')
tensor([13.8997], device='cuda:1')
tensor([11.7225], device='cuda:1')
tensor([10.0081], device='cuda:1')
tensor([9.3501], device='cuda:1')
tensor([9.0833], device='cuda:1')
tensor([8.5164], device='cuda:1')
tensor([8.7521], device='cuda:1')
tensor([8.2857], device='cuda:1')
tensor([8.4435], device='cuda:1')
tensor([9.7016], device='cuda:1')
tensor([8.9099], device='cuda:1')
tensor([9.7267], device='cuda:1')
tensor([9.7182], device='cuda:1')
tensor([9.6962], device='cuda:1')
tensor([8.5646], device='cuda:1')
tensor([9.3275], device='cuda:1')
tensor([9.2836], device='cuda:1')
tensor([9.5846], device='cuda:1')
tensor([9.0458], device='cuda:1')
tensor([8.9662], device='cuda:1')
tensor([8.8411], device='cuda:1')
tensor([8.5500], device='cuda:1')
tensor([8.4917], device='cuda:1')
tensor([8.4618], device='cuda:1')
tensor([8.6947], device='cuda:1')
tensor([8.4660], device='cuda:1')
tensor([8.4394], device='cuda:1')
tensor([8.3218], device='cuda:1')
tensor([8.5303], device='cuda:1')
tensor([8.2894], device='cuda:1')
