tensor([4.4468], device='cuda:0')
tensor([29.7787], device='cuda:0')
tensor([28.7763], device='cuda:0')
tensor([30.7132], device='cuda:0')
tensor([28.4629], device='cuda:0')
tensor([28.7203], device='cuda:0')
tensor([28.3911], device='cuda:0')
tensor([27.4945], device='cuda:0')
tensor([27.1372], device='cuda:0')
tensor([27.2432], device='cuda:0')
tensor([26.5020], device='cuda:0')
tensor([26.1113], device='cuda:0')
tensor([25.7349], device='cuda:0')
tensor([24.7341], device='cuda:0')
tensor([25.2098], device='cuda:0')
tensor([27.2933], device='cuda:0')
tensor([26.5611], device='cuda:0')
tensor([25.9198], device='cuda:0')
tensor([22.8216], device='cuda:0')
tensor([24.8365], device='cuda:0')
tensor([24.3849], device='cuda:0')
tensor([23.3760], device='cuda:0')
tensor([25.0168], device='cuda:0')
tensor([25.4590], device='cuda:0')
tensor([24.8008], device='cuda:0')
tensor([24.0104], device='cuda:0')
tensor([24.8641], device='cuda:0')
tensor([22.2340], device='cuda:0')
tensor([22.3965], device='cuda:0')
tensor([21.8442], device='cuda:0')
tensor([18.9231], device='cuda:0')
tensor([18.4606], device='cuda:0')
tensor([15.3032], device='cuda:0')
tensor([15.6690], device='cuda:0')
tensor([15.2950], device='cuda:0')
tensor([16.0912], device='cuda:0')
tensor([15.1141], device='cuda:0')
tensor([12.4618], device='cuda:0')
tensor([11.8136], device='cuda:0')
tensor([12.2480], device='cuda:0')
tensor([10.9107], device='cuda:0')
tensor([9.2007], device='cuda:0')
tensor([8.8353], device='cuda:0')
tensor([7.7915], device='cuda:0')
tensor([7.8479], device='cuda:0')
tensor([7.7709], device='cuda:0')
tensor([7.8864], device='cuda:0')
tensor([7.6582], device='cuda:0')
tensor([7.8195], device='cuda:0')
tensor([8.2579], device='cuda:0')
tensor([7.0430], device='cuda:0')
tensor([6.3388], device='cuda:0')
tensor([6.9630], device='cuda:0')
tensor([7.3997], device='cuda:0')
tensor([6.5046], device='cuda:0')
tensor([6.1355], device='cuda:0')
tensor([6.1319], device='cuda:0')
tensor([6.3259], device='cuda:0')
tensor([6.8955], device='cuda:0')
tensor([5.8560], device='cuda:0')
tensor([5.8593], device='cuda:0')
tensor([6.7388], device='cuda:0')
tensor([6.3939], device='cuda:0')
tensor([6.9309], device='cuda:0')
tensor([6.7420], device='cuda:0')
tensor([6.4190], device='cuda:0')
tensor([6.2344], device='cuda:0')
tensor([6.3760], device='cuda:0')
tensor([6.1606], device='cuda:0')
tensor([6.3459], device='cuda:0')
tensor([6.1557], device='cuda:0')
tensor([6.1828], device='cuda:0')
tensor([6.1882], device='cuda:0')
tensor([6.1893], device='cuda:0')
tensor([6.1632], device='cuda:0')
tensor([6.0973], device='cuda:0')
tensor([6.3729], device='cuda:0')
tensor([6.3708], device='cuda:0')
tensor([6.3698], device='cuda:0')
tensor([6.3778], device='cuda:0')
tensor([6.3594], device='cuda:0')
tensor([6.4247], device='cuda:0')
tensor([6.3892], device='cuda:0')
tensor([6.4013], device='cuda:0')
tensor([6.4344], device='cuda:0')
tensor([6.4123], device='cuda:0')
tensor([6.4126], device='cuda:0')
tensor([6.4204], device='cuda:0')
tensor([6.4215], device='cuda:0')
tensor([6.3646], device='cuda:0')
tensor([6.3624], device='cuda:0')
tensor([6.3337], device='cuda:0')
tensor([6.3173], device='cuda:0')
tensor([6.3006], device='cuda:0')
tensor([6.3185], device='cuda:0')
tensor([6.3026], device='cuda:0')
tensor([6.2809], device='cuda:0')
tensor([6.3087], device='cuda:0')
tensor([6.2946], device='cuda:0')
tensor([6.2726], device='cuda:0')
tensor([6.0588], device='cuda:0')
tensor([6.0541], device='cuda:0')
tensor([6.0086], device='cuda:0')
tensor([6.0487], device='cuda:0')
tensor([6.2383], device='cuda:0')
tensor([5.7603], device='cuda:0')
tensor([5.7646], device='cuda:0')
tensor([5.9344], device='cuda:0')
tensor([6.1982], device='cuda:0')
tensor([5.7549], device='cuda:0')
tensor([5.5331], device='cuda:0')
tensor([5.3131], device='cuda:0')
tensor([5.3131], device='cuda:0')
tensor([5.6790], device='cuda:0')
tensor([5.2982], device='cuda:0')
tensor([5.8901], device='cuda:0')
tensor([5.8669], device='cuda:0')
tensor([5.8675], device='cuda:0')
tensor([5.4415], device='cuda:0')
tensor([5.4790], device='cuda:0')
tensor([5.4327], device='cuda:0')
tensor([5.4901], device='cuda:0')
tensor([5.4392], device='cuda:0')
tensor([5.4147], device='cuda:0')
tensor([5.4054], device='cuda:0')
tensor([5.1813], device='cuda:0')
tensor([5.2016], device='cuda:0')
tensor([4.7038], device='cuda:0')
tensor([4.8966], device='cuda:0')
tensor([4.8637], device='cuda:0')
tensor([4.6713], device='cuda:0')
tensor([4.6780], device='cuda:0')
tensor([4.4793], device='cuda:0')
tensor([4.6972], device='cuda:0')
tensor([4.4969], device='cuda:0')
tensor([4.4534], device='cuda:0')
tensor([4.4090], device='cuda:0')
tensor([4.4148], device='cuda:0')
tensor([4.3870], device='cuda:0')
tensor([4.4557], device='cuda:0')
tensor([4.4330], device='cuda:0')
tensor([4.3308], device='cuda:0')
tensor([4.3651], device='cuda:0')
tensor([4.3047], device='cuda:0')
tensor([4.3047], device='cuda:0')
tensor([4.3047], device='cuda:0')
tensor([4.3047], device='cuda:0')
tensor([4.3441], device='cuda:0')
tensor([4.3377], device='cuda:0')
tensor([4.2842], device='cuda:0')
tensor([4.2710], device='cuda:0')
tensor([4.3087], device='cuda:0')
tensor([4.2737], device='cuda:0')
tensor([4.3124], device='cuda:0')
tensor([4.2558], device='cuda:0')
tensor([4.2238], device='cuda:0')
tensor([4.2735], device='cuda:0')
tensor([4.2244], device='cuda:0')
tensor([4.2123], device='cuda:0')
tensor([4.2638], device='cuda:0')
tensor([4.1955], device='cuda:0')
tensor([4.1854], device='cuda:0')
tensor([4.1791], device='cuda:0')
tensor([4.1423], device='cuda:0')
tensor([4.1956], device='cuda:0')
tensor([4.2271], device='cuda:0')
tensor([4.1848], device='cuda:0')
tensor([4.1772], device='cuda:0')
tensor([4.1867], device='cuda:0')
tensor([4.1891], device='cuda:0')
tensor([4.1555], device='cuda:0')
tensor([4.1583], device='cuda:0')
tensor([4.1382], device='cuda:0')
tensor([4.1297], device='cuda:0')
tensor([4.1419], device='cuda:0')
tensor([4.1938], device='cuda:0')
tensor([4.1723], device='cuda:0')
tensor([4.1648], device='cuda:0')
tensor([4.1675], device='cuda:0')
tensor([4.1886], device='cuda:0')
tensor([4.1593], device='cuda:0')
tensor([4.1354], device='cuda:0')
tensor([4.1404], device='cuda:0')
tensor([4.1270], device='cuda:0')
tensor([4.1468], device='cuda:0')
tensor([4.1258], device='cuda:0')
tensor([4.1132], device='cuda:0')
tensor([4.1115], device='cuda:0')
tensor([4.1149], device='cuda:0')
tensor([4.1090], device='cuda:0')
tensor([4.1048], device='cuda:0')
tensor([4.1466], device='cuda:0')
tensor([4.0983], device='cuda:0')
tensor([4.1043], device='cuda:0')
tensor([4.1127], device='cuda:0')
tensor([4.1290], device='cuda:0')
tensor([4.1085], device='cuda:0')
tensor([4.1075], device='cuda:0')
tensor([4.1268], device='cuda:0')
tensor([4.1110], device='cuda:0')
tensor([4.1124], device='cuda:0')
tensor([4.1218], device='cuda:0')
tensor([4.1218], device='cuda:0')
tensor([4.1034], device='cuda:0')
tensor([4.1034], device='cuda:0')
tensor([4.1034], device='cuda:0')
tensor([4.1081], device='cuda:0')
tensor([4.0889], device='cuda:0')
tensor([4.1047], device='cuda:0')
tensor([4.1101], device='cuda:0')
tensor([4.1103], device='cuda:0')
tensor([4.0858], device='cuda:0')
tensor([4.0937], device='cuda:0')
tensor([4.1007], device='cuda:0')
tensor([4.1160], device='cuda:0')
tensor([4.0814], device='cuda:0')
tensor([4.0952], device='cuda:0')
tensor([4.0877], device='cuda:0')
tensor([4.0900], device='cuda:0')
tensor([4.0855], device='cuda:0')
tensor([4.0962], device='cuda:0')
tensor([4.0979], device='cuda:0')
tensor([4.0889], device='cuda:0')
tensor([4.0807], device='cuda:0')
tensor([4.0748], device='cuda:0')
tensor([4.0826], device='cuda:0')
tensor([4.0861], device='cuda:0')
tensor([4.0843], device='cuda:0')
tensor([4.0720], device='cuda:0')
tensor([4.0883], device='cuda:0')
tensor([4.0792], device='cuda:0')
tensor([4.0767], device='cuda:0')
tensor([4.0917], device='cuda:0')
tensor([4.0897], device='cuda:0')
tensor([4.0845], device='cuda:0')
tensor([4.0802], device='cuda:0')
tensor([4.0891], device='cuda:0')
tensor([4.0925], device='cuda:0')
tensor([4.0806], device='cuda:0')
tensor([4.1211], device='cuda:0')
tensor([4.0892], device='cuda:0')
tensor([4.0865], device='cuda:0')
tensor([4.0855], device='cuda:0')
tensor([4.0680], device='cuda:0')
tensor([4.0838], device='cuda:0')
tensor([4.0851], device='cuda:0')
