tensor([10.7283], device='cuda:0')
tensor([10.7425], device='cuda:0')
tensor([10.7339], device='cuda:0')
tensor([10.7194], device='cuda:0')
tensor([10.7091], device='cuda:0')
tensor([10.7193], device='cuda:0')
tensor([10.7223], device='cuda:0')
tensor([10.6869], device='cuda:0')
tensor([10.6771], device='cuda:0')
tensor([10.6856], device='cuda:0')
tensor([10.6803], device='cuda:0')
tensor([10.6829], device='cuda:0')
tensor([10.6885], device='cuda:0')
tensor([10.6821], device='cuda:0')
tensor([10.6886], device='cuda:0')
tensor([10.6860], device='cuda:0')
tensor([10.6513], device='cuda:0')
tensor([10.6560], device='cuda:0')
tensor([10.6777], device='cuda:0')
tensor([10.6709], device='cuda:0')
tensor([10.6924], device='cuda:0')
tensor([10.6838], device='cuda:0')
tensor([10.6720], device='cuda:0')
tensor([10.6764], device='cuda:0')
tensor([10.6740], device='cuda:0')
tensor([10.6798], device='cuda:0')
tensor([10.6553], device='cuda:0')
tensor([10.6678], device='cuda:0')
tensor([10.6552], device='cuda:0')
tensor([10.6508], device='cuda:0')
tensor([10.6584], device='cuda:0')
tensor([10.6601], device='cuda:0')
tensor([10.6552], device='cuda:0')
tensor([10.6584], device='cuda:0')
tensor([10.6702], device='cuda:0')
tensor([10.6702], device='cuda:0')
tensor([10.6653], device='cuda:0')
tensor([10.6604], device='cuda:0')
tensor([10.6781], device='cuda:0')
tensor([10.6525], device='cuda:0')
tensor([10.6423], device='cuda:0')
tensor([10.6645], device='cuda:0')
tensor([10.6525], device='cuda:0')
tensor([10.6555], device='cuda:0')
tensor([10.6525], device='cuda:0')
tensor([10.6365], device='cuda:0')
tensor([10.7048], device='cuda:0')
tensor([10.6562], device='cuda:0')
tensor([10.6740], device='cuda:0')
tensor([10.6928], device='cuda:0')
tensor([10.6442], device='cuda:0')
tensor([10.7197], device='cuda:0')
tensor([10.7118], device='cuda:0')
tensor([10.6502], device='cuda:0')
tensor([10.6748], device='cuda:0')
tensor([10.6734], device='cuda:0')
tensor([10.7082], device='cuda:0')
tensor([10.6562], device='cuda:0')
tensor([10.6813], device='cuda:0')
tensor([10.6801], device='cuda:0')
tensor([10.6964], device='cuda:0')
tensor([10.6874], device='cuda:0')
tensor([10.6900], device='cuda:0')
tensor([10.6827], device='cuda:0')
tensor([10.6813], device='cuda:0')
tensor([10.6741], device='cuda:0')
tensor([10.6716], device='cuda:0')
tensor([10.6716], device='cuda:0')
tensor([10.6716], device='cuda:0')
tensor([10.6589], device='cuda:0')
tensor([10.6525], device='cuda:0')
tensor([10.6311], device='cuda:0')
tensor([10.3944], device='cuda:0')
tensor([10.4004], device='cuda:0')
tensor([10.6616], device='cuda:0')
tensor([10.3968], device='cuda:0')
tensor([10.3509], device='cuda:0')
tensor([10.3512], device='cuda:0')
tensor([10.6138], device='cuda:0')
tensor([10.6138], device='cuda:0')
tensor([10.6104], device='cuda:0')
tensor([10.3517], device='cuda:0')
tensor([10.6134], device='cuda:0')
tensor([10.5973], device='cuda:0')
tensor([10.3868], device='cuda:0')
tensor([9.3702], device='cuda:0')
tensor([9.3702], device='cuda:0')
tensor([9.3774], device='cuda:0')
tensor([9.3668], device='cuda:0')
tensor([9.3651], device='cuda:0')
tensor([9.3753], device='cuda:0')
tensor([9.3718], device='cuda:0')
tensor([9.3668], device='cuda:0')
tensor([9.3857], device='cuda:0')
tensor([9.3668], device='cuda:0')
tensor([9.3499], device='cuda:0')
tensor([8.7938], device='cuda:0')
tensor([8.7717], device='cuda:0')
tensor([8.7877], device='cuda:0')
tensor([8.8594], device='cuda:0')
tensor([8.7877], device='cuda:0')
tensor([8.7861], device='cuda:0')
tensor([8.7995], device='cuda:0')
tensor([8.7717], device='cuda:0')
tensor([8.7509], device='cuda:0')
tensor([9.1125], device='cuda:0')
tensor([9.1125], device='cuda:0')
tensor([8.7717], device='cuda:0')
tensor([8.7753], device='cuda:0')
tensor([8.7098], device='cuda:0')
tensor([8.7547], device='cuda:0')
tensor([8.7753], device='cuda:0')
tensor([8.7612], device='cuda:0')
tensor([8.6943], device='cuda:0')
tensor([8.7616], device='cuda:0')
tensor([8.7594], device='cuda:0')
tensor([7.7809], device='cuda:0')
tensor([7.7768], device='cuda:0')
tensor([7.7754], device='cuda:0')
tensor([7.7754], device='cuda:0')
tensor([8.1233], device='cuda:0')
tensor([8.1366], device='cuda:0')
tensor([8.0984], device='cuda:0')
tensor([7.9487], device='cuda:0')
tensor([7.7439], device='cuda:0')
tensor([7.6713], device='cuda:0')
tensor([8.0357], device='cuda:0')
tensor([7.9965], device='cuda:0')
tensor([7.5841], device='cuda:0')
tensor([7.6457], device='cuda:0')
tensor([7.7276], device='cuda:0')
tensor([7.7276], device='cuda:0')
tensor([7.7276], device='cuda:0')
tensor([7.9652], device='cuda:0')
tensor([7.9604], device='cuda:0')
tensor([7.9243], device='cuda:0')
tensor([7.7276], device='cuda:0')
tensor([7.9243], device='cuda:0')
tensor([7.9298], device='cuda:0')
tensor([7.9209], device='cuda:0')
tensor([7.7331], device='cuda:0')
tensor([7.6416], device='cuda:0')
tensor([7.5387], device='cuda:0')
tensor([7.5387], device='cuda:0')
tensor([7.5497], device='cuda:0')
tensor([7.5372], device='cuda:0')
tensor([7.5372], device='cuda:0')
tensor([7.5387], device='cuda:0')
tensor([7.5274], device='cuda:0')
tensor([7.5274], device='cuda:0')
tensor([7.4873], device='cuda:0')
tensor([6.5464], device='cuda:0')
tensor([6.1851], device='cuda:0')
tensor([6.2312], device='cuda:0')
tensor([6.2034], device='cuda:0')
tensor([6.1866], device='cuda:0')
tensor([6.1619], device='cuda:0')
tensor([6.1619], device='cuda:0')
tensor([6.1653], device='cuda:0')
tensor([6.1866], device='cuda:0')
tensor([6.2044], device='cuda:0')
tensor([6.1866], device='cuda:0')
tensor([6.2243], device='cuda:0')
tensor([6.5662], device='cuda:0')
tensor([6.5058], device='cuda:0')
tensor([6.2009], device='cuda:0')
tensor([6.4160], device='cuda:0')
tensor([6.4140], device='cuda:0')
tensor([6.1662], device='cuda:0')
tensor([6.1662], device='cuda:0')
tensor([6.1839], device='cuda:0')
tensor([6.1751], device='cuda:0')
tensor([6.1751], device='cuda:0')
tensor([6.1366], device='cuda:0')
tensor([6.1366], device='cuda:0')
tensor([5.9907], device='cuda:0')
tensor([5.9907], device='cuda:0')
tensor([6.3727], device='cuda:0')
tensor([6.3714], device='cuda:0')
tensor([5.8950], device='cuda:0')
tensor([5.8304], device='cuda:0')
tensor([5.8514], device='cuda:0')
tensor([5.4438], device='cuda:0')
tensor([5.4972], device='cuda:0')
