tensor([4.5843], device='cuda:0')
tensor([40.2181], device='cuda:0')
tensor([40.0140], device='cuda:0')
tensor([40.3932], device='cuda:0')
tensor([39.5740], device='cuda:0')
tensor([40.9537], device='cuda:0')
tensor([41.2500], device='cuda:0')
tensor([40.9345], device='cuda:0')
tensor([41.2582], device='cuda:0')
tensor([41.0321], device='cuda:0')
tensor([40.3315], device='cuda:0')
tensor([40.4541], device='cuda:0')
tensor([38.8168], device='cuda:0')
tensor([40.9167], device='cuda:0')
tensor([37.5506], device='cuda:0')
tensor([34.7891], device='cuda:0')
tensor([32.6827], device='cuda:0')
tensor([33.0128], device='cuda:0')
tensor([33.8047], device='cuda:0')
tensor([31.1455], device='cuda:0')
tensor([32.6354], device='cuda:0')
tensor([32.0739], device='cuda:0')
tensor([36.4746], device='cuda:0')
tensor([34.0875], device='cuda:0')
tensor([32.7496], device='cuda:0')
tensor([38.7944], device='cuda:0')
tensor([34.2875], device='cuda:0')
tensor([32.6352], device='cuda:0')
tensor([32.1539], device='cuda:0')
tensor([27.4104], device='cuda:0')
tensor([26.2526], device='cuda:0')
tensor([27.8612], device='cuda:0')
tensor([24.2599], device='cuda:0')
tensor([22.0453], device='cuda:0')
tensor([26.3350], device='cuda:0')
tensor([21.4975], device='cuda:0')
tensor([23.7859], device='cuda:0')
tensor([20.1307], device='cuda:0')
tensor([20.5209], device='cuda:0')
tensor([17.0322], device='cuda:0')
tensor([21.7762], device='cuda:0')
tensor([23.0570], device='cuda:0')
tensor([21.2681], device='cuda:0')
tensor([18.1450], device='cuda:0')
tensor([18.3627], device='cuda:0')
tensor([14.1242], device='cuda:0')
tensor([13.0713], device='cuda:0')
tensor([13.4560], device='cuda:0')
tensor([11.3424], device='cuda:0')
tensor([11.8728], device='cuda:0')
tensor([11.6529], device='cuda:0')
tensor([10.9621], device='cuda:0')
tensor([9.0467], device='cuda:0')
tensor([8.5598], device='cuda:0')
tensor([7.0967], device='cuda:0')
tensor([5.1145], device='cuda:0')
tensor([6.0747], device='cuda:0')
tensor([6.0493], device='cuda:0')
tensor([5.2650], device='cuda:0')
tensor([5.1344], device='cuda:0')
tensor([5.1748], device='cuda:0')
tensor([4.6418], device='cuda:0')
tensor([4.6866], device='cuda:0')
tensor([4.6511], device='cuda:0')
tensor([4.6152], device='cuda:0')
tensor([4.6095], device='cuda:0')
tensor([4.6297], device='cuda:0')
tensor([4.5858], device='cuda:0')
tensor([4.5978], device='cuda:0')
tensor([4.5635], device='cuda:0')
tensor([4.5646], device='cuda:0')
tensor([4.5475], device='cuda:0')
tensor([4.5792], device='cuda:0')
tensor([4.5399], device='cuda:0')
tensor([4.5658], device='cuda:0')
tensor([5.0717], device='cuda:0')
tensor([4.5455], device='cuda:0')
tensor([4.5195], device='cuda:0')
tensor([4.4785], device='cuda:0')
tensor([4.4597], device='cuda:0')
tensor([4.4655], device='cuda:0')
tensor([4.4683], device='cuda:0')
tensor([4.4779], device='cuda:0')
tensor([4.4964], device='cuda:0')
tensor([4.4730], device='cuda:0')
tensor([4.4863], device='cuda:0')
tensor([4.4971], device='cuda:0')
tensor([4.4673], device='cuda:0')
tensor([4.4707], device='cuda:0')
tensor([4.4498], device='cuda:0')
tensor([4.4877], device='cuda:0')
tensor([4.4445], device='cuda:0')
tensor([4.4644], device='cuda:0')
tensor([4.4373], device='cuda:0')
tensor([4.4698], device='cuda:0')
tensor([4.4772], device='cuda:0')
tensor([4.4936], device='cuda:0')
tensor([4.4633], device='cuda:0')
tensor([4.4770], device='cuda:0')
tensor([4.4306], device='cuda:0')
tensor([4.4507], device='cuda:0')
tensor([4.4612], device='cuda:0')
tensor([4.4532], device='cuda:0')
tensor([4.4515], device='cuda:0')
tensor([4.4493], device='cuda:0')
tensor([4.4606], device='cuda:0')
tensor([4.4512], device='cuda:0')
tensor([4.4562], device='cuda:0')
tensor([4.4517], device='cuda:0')
tensor([4.4345], device='cuda:0')
tensor([4.4467], device='cuda:0')
tensor([4.4600], device='cuda:0')
tensor([4.4538], device='cuda:0')
tensor([4.4376], device='cuda:0')
tensor([4.4379], device='cuda:0')
tensor([4.4484], device='cuda:0')
tensor([4.4357], device='cuda:0')
tensor([4.4339], device='cuda:0')
tensor([4.4438], device='cuda:0')
tensor([4.4458], device='cuda:0')
tensor([4.4444], device='cuda:0')
tensor([4.4338], device='cuda:0')
tensor([4.4305], device='cuda:0')
