tensor([32.3475], device='cuda:1')
tensor([32.3359], device='cuda:1')
tensor([32.6025], device='cuda:1')
tensor([32.5960], device='cuda:1')
tensor([32.6012], device='cuda:1')
tensor([32.5516], device='cuda:1')
tensor([32.5661], device='cuda:1')
tensor([32.5977], device='cuda:1')
tensor([32.6104], device='cuda:1')
tensor([32.5752], device='cuda:1')
tensor([32.5328], device='cuda:1')
tensor([32.5543], device='cuda:1')
tensor([32.4784], device='cuda:1')
tensor([32.4297], device='cuda:1')
tensor([32.4168], device='cuda:1')
tensor([32.3186], device='cuda:1')
tensor([32.3107], device='cuda:1')
tensor([32.3954], device='cuda:1')
tensor([32.3220], device='cuda:1')
tensor([32.3210], device='cuda:1')
tensor([32.3433], device='cuda:1')
tensor([32.3204], device='cuda:1')
tensor([32.3367], device='cuda:1')
tensor([31.9964], device='cuda:1')
tensor([31.9863], device='cuda:1')
tensor([31.9942], device='cuda:1')
tensor([31.8220], device='cuda:1')
tensor([31.8662], device='cuda:1')
tensor([31.8690], device='cuda:1')
tensor([31.8587], device='cuda:1')
tensor([32.0483], device='cuda:1')
tensor([31.9545], device='cuda:1')
tensor([31.7067], device='cuda:1')
tensor([31.6543], device='cuda:1')
tensor([31.5627], device='cuda:1')
tensor([31.5606], device='cuda:1')
tensor([31.2621], device='cuda:1')
tensor([31.2288], device='cuda:1')
tensor([30.6591], device='cuda:1')
tensor([31.2279], device='cuda:1')
tensor([30.3408], device='cuda:1')
tensor([27.6427], device='cuda:1')
tensor([27.6219], device='cuda:1')
tensor([21.2335], device='cuda:1')
tensor([24.8811], device='cuda:1')
tensor([21.7732], device='cuda:1')
tensor([21.5263], device='cuda:1')
tensor([21.4990], device='cuda:1')
tensor([21.4975], device='cuda:1')
tensor([21.9026], device='cuda:1')
tensor([21.4795], device='cuda:1')
tensor([21.0258], device='cuda:1')
tensor([21.1965], device='cuda:1')
tensor([19.7027], device='cuda:1')
tensor([20.0634], device='cuda:1')
tensor([18.1634], device='cuda:1')
tensor([19.1775], device='cuda:1')
tensor([15.7355], device='cuda:1')
tensor([13.5681], device='cuda:1')
tensor([6.4253], device='cuda:1')
tensor([3.4424], device='cuda:1')
tensor([3.1399], device='cuda:1')
tensor([2.8836], device='cuda:1')
tensor([2.9264], device='cuda:1')
tensor([2.3014], device='cuda:1')
tensor([2.3015], device='cuda:1')
tensor([2.3000], device='cuda:1')
tensor([2.2941], device='cuda:1')
tensor([2.2922], device='cuda:1')
tensor([2.2948], device='cuda:1')
tensor([2.2914], device='cuda:1')
tensor([2.2921], device='cuda:1')
tensor([2.2962], device='cuda:1')
tensor([2.2900], device='cuda:1')
tensor([2.2831], device='cuda:1')
tensor([2.2916], device='cuda:1')
tensor([2.2919], device='cuda:1')
tensor([2.2892], device='cuda:1')
tensor([2.2859], device='cuda:1')
tensor([2.2856], device='cuda:1')
tensor([2.2791], device='cuda:1')
tensor([2.2831], device='cuda:1')
tensor([2.2852], device='cuda:1')
tensor([2.2834], device='cuda:1')
tensor([2.2833], device='cuda:1')
tensor([2.2859], device='cuda:1')
tensor([2.2832], device='cuda:1')
tensor([2.2764], device='cuda:1')
tensor([2.2704], device='cuda:1')
tensor([2.2706], device='cuda:1')
tensor([2.2639], device='cuda:1')
tensor([2.2734], device='cuda:1')
tensor([2.2755], device='cuda:1')
tensor([2.2742], device='cuda:1')
tensor([2.2683], device='cuda:1')
tensor([2.2650], device='cuda:1')
tensor([2.2731], device='cuda:1')
tensor([2.2740], device='cuda:1')
tensor([2.2737], device='cuda:1')
tensor([2.2730], device='cuda:1')
tensor([2.2720], device='cuda:1')
tensor([2.2712], device='cuda:1')
tensor([2.2702], device='cuda:1')
tensor([2.2770], device='cuda:1')
tensor([2.2752], device='cuda:1')
tensor([2.2725], device='cuda:1')
tensor([2.2698], device='cuda:1')
tensor([2.2719], device='cuda:1')
tensor([2.2714], device='cuda:1')
tensor([2.2670], device='cuda:1')
tensor([2.2688], device='cuda:1')
tensor([2.2655], device='cuda:1')
tensor([2.2677], device='cuda:1')
tensor([2.2668], device='cuda:1')
tensor([2.2689], device='cuda:1')
tensor([2.2692], device='cuda:1')
tensor([2.2609], device='cuda:1')
tensor([2.2662], device='cuda:1')
tensor([2.2687], device='cuda:1')
tensor([2.2630], device='cuda:1')
tensor([2.2691], device='cuda:1')
tensor([2.2653], device='cuda:1')
tensor([2.2723], device='cuda:1')
tensor([2.2704], device='cuda:1')
tensor([2.2693], device='cuda:1')
tensor([2.2716], device='cuda:1')
tensor([2.2652], device='cuda:1')
tensor([2.2673], device='cuda:1')
tensor([2.2622], device='cuda:1')
tensor([2.2643], device='cuda:1')
tensor([2.2690], device='cuda:1')
tensor([2.2612], device='cuda:1')
tensor([2.2552], device='cuda:1')
tensor([2.2639], device='cuda:1')
tensor([2.2586], device='cuda:1')
tensor([2.2602], device='cuda:1')
tensor([2.2568], device='cuda:1')
tensor([2.2604], device='cuda:1')
tensor([2.2601], device='cuda:1')
tensor([2.2638], device='cuda:1')
tensor([2.2619], device='cuda:1')
tensor([2.2628], device='cuda:1')
tensor([2.2622], device='cuda:1')
tensor([2.2642], device='cuda:1')
tensor([2.2622], device='cuda:1')
tensor([2.2594], device='cuda:1')
tensor([2.2632], device='cuda:1')
tensor([2.2563], device='cuda:1')
tensor([2.2562], device='cuda:1')
tensor([2.2578], device='cuda:1')
tensor([2.2446], device='cuda:1')
tensor([2.2555], device='cuda:1')
tensor([2.2561], device='cuda:1')
tensor([2.2497], device='cuda:1')
tensor([2.2565], device='cuda:1')
tensor([2.2587], device='cuda:1')
tensor([2.2597], device='cuda:1')
tensor([2.2572], device='cuda:1')
tensor([2.2546], device='cuda:1')
tensor([2.2579], device='cuda:1')
tensor([2.2582], device='cuda:1')
tensor([2.2551], device='cuda:1')
tensor([2.2535], device='cuda:1')
tensor([2.2536], device='cuda:1')
tensor([2.2602], device='cuda:1')
tensor([2.2605], device='cuda:1')
tensor([2.2646], device='cuda:1')
tensor([2.2669], device='cuda:1')
tensor([2.2629], device='cuda:1')
tensor([2.2558], device='cuda:1')
tensor([2.2601], device='cuda:1')
tensor([2.2624], device='cuda:1')
tensor([2.2624], device='cuda:1')
tensor([2.2621], device='cuda:1')
tensor([2.2589], device='cuda:1')
tensor([2.2602], device='cuda:1')
tensor([2.2631], device='cuda:1')
tensor([2.2630], device='cuda:1')
tensor([2.2645], device='cuda:1')
tensor([2.2644], device='cuda:1')
tensor([2.2623], device='cuda:1')
tensor([2.2635], device='cuda:1')
tensor([2.2629], device='cuda:1')
tensor([2.2567], device='cuda:1')
tensor([2.2603], device='cuda:1')
tensor([2.2593], device='cuda:1')
tensor([2.2610], device='cuda:1')
tensor([2.2643], device='cuda:1')
tensor([2.2557], device='cuda:1')
tensor([2.2502], device='cuda:1')
tensor([2.2554], device='cuda:1')
tensor([2.2507], device='cuda:1')
tensor([2.2581], device='cuda:1')
tensor([2.2525], device='cuda:1')
tensor([2.2560], device='cuda:1')
tensor([2.2526], device='cuda:1')
tensor([2.2527], device='cuda:1')
tensor([2.2532], device='cuda:1')
tensor([2.2551], device='cuda:1')
tensor([2.2687], device='cuda:1')
tensor([2.2655], device='cuda:1')
tensor([2.2649], device='cuda:1')
tensor([2.2624], device='cuda:1')
tensor([2.2729], device='cuda:1')
tensor([2.2637], device='cuda:1')
tensor([2.2664], device='cuda:1')
tensor([2.2716], device='cuda:1')
tensor([2.2725], device='cuda:1')
tensor([2.2806], device='cuda:1')
tensor([2.2817], device='cuda:1')
tensor([2.2654], device='cuda:1')
tensor([2.2610], device='cuda:1')
tensor([2.2542], device='cuda:1')
tensor([2.2609], device='cuda:1')
tensor([2.2533], device='cuda:1')
tensor([2.2461], device='cuda:1')
tensor([2.2432], device='cuda:1')
tensor([2.2475], device='cuda:1')
tensor([2.2449], device='cuda:1')
