tensor([5.0153], device='cuda:1')
tensor([4.3396], device='cuda:1')
tensor([5.3879], device='cuda:1')
tensor([4.6558], device='cuda:1')
tensor([7.4531], device='cuda:1')
tensor([26.5171], device='cuda:1')
tensor([26.6010], device='cuda:1')
tensor([26.2982], device='cuda:1')
tensor([26.3067], device='cuda:1')
tensor([26.1705], device='cuda:1')
tensor([26.4254], device='cuda:1')
tensor([26.4979], device='cuda:1')
tensor([26.4520], device='cuda:1')
tensor([25.9026], device='cuda:1')
tensor([26.0232], device='cuda:1')
tensor([25.4136], device='cuda:1')
tensor([25.6806], device='cuda:1')
tensor([25.7894], device='cuda:1')
tensor([24.3857], device='cuda:1')
tensor([24.1750], device='cuda:1')
tensor([25.4015], device='cuda:1')
tensor([25.4966], device='cuda:1')
tensor([23.7083], device='cuda:1')
tensor([24.7476], device='cuda:1')
tensor([23.3246], device='cuda:1')
tensor([22.7719], device='cuda:1')
tensor([22.3177], device='cuda:1')
tensor([18.4179], device='cuda:1')
tensor([20.4254], device='cuda:1')
tensor([20.4954], device='cuda:1')
tensor([20.7814], device='cuda:1')
tensor([18.2105], device='cuda:1')
tensor([18.5716], device='cuda:1')
tensor([13.8882], device='cuda:1')
tensor([12.6668], device='cuda:1')
tensor([11.1546], device='cuda:1')
tensor([11.4475], device='cuda:1')
tensor([9.9759], device='cuda:1')
tensor([9.5788], device='cuda:1')
tensor([8.8853], device='cuda:1')
tensor([8.3450], device='cuda:1')
tensor([8.8129], device='cuda:1')
tensor([7.6232], device='cuda:1')
tensor([8.1213], device='cuda:1')
tensor([5.7004], device='cuda:1')
tensor([6.6285], device='cuda:1')
tensor([5.2111], device='cuda:1')
tensor([5.5922], device='cuda:1')
tensor([4.2598], device='cuda:1')
tensor([4.8653], device='cuda:1')
tensor([4.2280], device='cuda:1')
tensor([4.2276], device='cuda:1')
tensor([4.1854], device='cuda:1')
tensor([4.1988], device='cuda:1')
tensor([4.2367], device='cuda:1')
tensor([4.1976], device='cuda:1')
tensor([4.2004], device='cuda:1')
tensor([4.2057], device='cuda:1')
tensor([4.1908], device='cuda:1')
tensor([4.1915], device='cuda:1')
tensor([4.2158], device='cuda:1')
tensor([4.2046], device='cuda:1')
tensor([4.1737], device='cuda:1')
tensor([4.1421], device='cuda:1')
tensor([4.1607], device='cuda:1')
tensor([4.1486], device='cuda:1')
tensor([4.1720], device='cuda:1')
tensor([4.1496], device='cuda:1')
tensor([4.1306], device='cuda:1')
tensor([4.1530], device='cuda:1')
tensor([4.1080], device='cuda:1')
tensor([4.1028], device='cuda:1')
tensor([4.0822], device='cuda:1')
tensor([4.0525], device='cuda:1')
tensor([4.0638], device='cuda:1')
tensor([4.0505], device='cuda:1')
tensor([4.0676], device='cuda:1')
tensor([4.0343], device='cuda:1')
tensor([4.0330], device='cuda:1')
tensor([4.0154], device='cuda:1')
tensor([4.0308], device='cuda:1')
tensor([3.9978], device='cuda:1')
tensor([4.0433], device='cuda:1')
tensor([4.0082], device='cuda:1')
tensor([3.9998], device='cuda:1')
tensor([3.9808], device='cuda:1')
tensor([3.9865], device='cuda:1')
tensor([3.9733], device='cuda:1')
tensor([3.9815], device='cuda:1')
tensor([3.9874], device='cuda:1')
tensor([3.9808], device='cuda:1')
tensor([3.9839], device='cuda:1')
tensor([4.0009], device='cuda:1')
tensor([3.9681], device='cuda:1')
tensor([3.9643], device='cuda:1')
tensor([3.9666], device='cuda:1')
tensor([3.9595], device='cuda:1')
tensor([3.9765], device='cuda:1')
tensor([3.9541], device='cuda:1')
tensor([3.9537], device='cuda:1')
tensor([3.9606], device='cuda:1')
tensor([3.9501], device='cuda:1')
tensor([3.9754], device='cuda:1')
tensor([3.9625], device='cuda:1')
tensor([3.9453], device='cuda:1')
tensor([3.9317], device='cuda:1')
tensor([3.9328], device='cuda:1')
tensor([3.9317], device='cuda:1')
tensor([3.9240], device='cuda:1')
tensor([3.9422], device='cuda:1')
tensor([3.9263], device='cuda:1')
