tensor([26.3862], device='cuda:0')
tensor([26.3940], device='cuda:0')
tensor([26.2256], device='cuda:0')
tensor([26.2278], device='cuda:0')
tensor([25.6279], device='cuda:0')
tensor([24.6873], device='cuda:0')
tensor([22.4451], device='cuda:0')
tensor([22.4604], device='cuda:0')
tensor([21.0901], device='cuda:0')
tensor([19.4009], device='cuda:0')
tensor([18.9149], device='cuda:0')
tensor([17.0907], device='cuda:0')
tensor([16.5270], device='cuda:0')
tensor([14.4635], device='cuda:0')
tensor([13.2234], device='cuda:0')
tensor([12.8270], device='cuda:0')
tensor([10.5849], device='cuda:0')
tensor([8.7042], device='cuda:0')
tensor([7.6326], device='cuda:0')
tensor([7.7673], device='cuda:0')
tensor([7.4197], device='cuda:0')
tensor([6.6223], device='cuda:0')
tensor([6.1962], device='cuda:0')
tensor([5.9052], device='cuda:0')
tensor([5.2574], device='cuda:0')
tensor([4.7805], device='cuda:0')
tensor([4.5208], device='cuda:0')
tensor([5.0265], device='cuda:0')
tensor([4.4506], device='cuda:0')
tensor([3.7137], device='cuda:0')
tensor([3.7154], device='cuda:0')
tensor([3.5665], device='cuda:0')
tensor([3.4043], device='cuda:0')
tensor([3.3648], device='cuda:0')
tensor([2.9207], device='cuda:0')
tensor([2.7685], device='cuda:0')
tensor([2.5876], device='cuda:0')
tensor([2.4825], device='cuda:0')
tensor([2.3017], device='cuda:0')
tensor([2.1366], device='cuda:0')
tensor([2.1243], device='cuda:0')
tensor([1.8460], device='cuda:0')
tensor([1.8460], device='cuda:0')
tensor([1.8284], device='cuda:0')
tensor([1.8174], device='cuda:0')
tensor([1.9731], device='cuda:0')
tensor([2.0950], device='cuda:0')
tensor([1.8108], device='cuda:0')
tensor([1.4199], device='cuda:0')
tensor([1.3659], device='cuda:0')
tensor([1.3588], device='cuda:0')
tensor([1.3588], device='cuda:0')
tensor([1.3277], device='cuda:0')
tensor([1.3277], device='cuda:0')
tensor([1.3067], device='cuda:0')
tensor([1.2849], device='cuda:0')
tensor([1.2627], device='cuda:0')
tensor([1.2306], device='cuda:0')
tensor([1.2114], device='cuda:0')
tensor([1.2058], device='cuda:0')
tensor([1.2030], device='cuda:0')
tensor([1.1888], device='cuda:0')
tensor([1.1878], device='cuda:0')
tensor([1.1888], device='cuda:0')
tensor([1.1852], device='cuda:0')
tensor([1.1803], device='cuda:0')
tensor([1.1757], device='cuda:0')
tensor([1.1757], device='cuda:0')
tensor([1.1757], device='cuda:0')
tensor([1.1753], device='cuda:0')
tensor([1.1709], device='cuda:0')
tensor([1.1709], device='cuda:0')
tensor([1.1711], device='cuda:0')
tensor([1.1662], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1656], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1648], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1619], device='cuda:0')
tensor([1.1619], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1619], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1617], device='cuda:0')
tensor([1.1615], device='cuda:0')
tensor([1.1615], device='cuda:0')
tensor([1.1615], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1612], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1616], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1613], device='cuda:0')
tensor([1.1610], device='cuda:0')
tensor([1.1593], device='cuda:0')
tensor([1.1593], device='cuda:0')
tensor([1.1578], device='cuda:0')
tensor([1.1594], device='cuda:0')
tensor([1.1590], device='cuda:0')
tensor([1.1590], device='cuda:0')
tensor([1.1599], device='cuda:0')
tensor([1.1579], device='cuda:0')
tensor([1.1579], device='cuda:0')
tensor([1.1589], device='cuda:0')
tensor([1.1589], device='cuda:0')
tensor([1.1589], device='cuda:0')
tensor([1.1588], device='cuda:0')
tensor([1.1577], device='cuda:0')
tensor([1.1577], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1575], device='cuda:0')
tensor([1.1567], device='cuda:0')
tensor([1.1567], device='cuda:0')
tensor([1.1561], device='cuda:0')
tensor([1.1561], device='cuda:0')
tensor([1.1553], device='cuda:0')
tensor([1.1553], device='cuda:0')
tensor([1.1534], device='cuda:0')
tensor([1.1534], device='cuda:0')
tensor([1.1534], device='cuda:0')
tensor([1.1534], device='cuda:0')
tensor([1.1534], device='cuda:0')
tensor([1.1534], device='cuda:0')
tensor([1.1528], device='cuda:0')
tensor([1.1528], device='cuda:0')
tensor([1.1528], device='cuda:0')
tensor([1.1528], device='cuda:0')
tensor([1.1528], device='cuda:0')
tensor([1.1528], device='cuda:0')
tensor([1.1522], device='cuda:0')
tensor([1.1508], device='cuda:0')
tensor([1.1514], device='cuda:0')
tensor([1.1510], device='cuda:0')
tensor([1.1510], device='cuda:0')
tensor([1.1508], device='cuda:0')
tensor([1.1503], device='cuda:0')
tensor([1.1501], device='cuda:0')
tensor([1.1498], device='cuda:0')
tensor([1.1495], device='cuda:0')
tensor([1.1495], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1495], device='cuda:0')
tensor([1.1495], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1492], device='cuda:0')
tensor([1.1482], device='cuda:0')
tensor([1.1476], device='cuda:0')
tensor([1.1482], device='cuda:0')
tensor([1.1482], device='cuda:0')
tensor([1.1482], device='cuda:0')
tensor([1.1476], device='cuda:0')
tensor([1.1467], device='cuda:0')
tensor([1.1476], device='cuda:0')
tensor([1.1464], device='cuda:0')
tensor([1.1460], device='cuda:0')
tensor([1.1452], device='cuda:0')
tensor([1.1446], device='cuda:0')
tensor([1.1446], device='cuda:0')
tensor([1.1443], device='cuda:0')
tensor([1.1433], device='cuda:0')
tensor([1.1443], device='cuda:0')
tensor([1.1437], device='cuda:0')
tensor([1.1435], device='cuda:0')
tensor([1.1446], device='cuda:0')
tensor([1.1443], device='cuda:0')
tensor([1.1434], device='cuda:0')
tensor([1.1439], device='cuda:0')
tensor([1.1422], device='cuda:0')
tensor([1.1415], device='cuda:0')
tensor([1.1422], device='cuda:0')
tensor([1.1424], device='cuda:0')
tensor([1.1424], device='cuda:0')
tensor([1.1424], device='cuda:0')
tensor([1.1418], device='cuda:0')
tensor([1.1411], device='cuda:0')
tensor([1.1409], device='cuda:0')
tensor([1.1414], device='cuda:0')
tensor([1.1414], device='cuda:0')
tensor([1.1411], device='cuda:0')
tensor([1.1415], device='cuda:0')
tensor([1.1412], device='cuda:0')
tensor([1.1406], device='cuda:0')
tensor([1.1406], device='cuda:0')
tensor([1.1406], device='cuda:0')
tensor([1.1397], device='cuda:0')
tensor([1.1399], device='cuda:0')
tensor([1.1400], device='cuda:0')
tensor([1.1392], device='cuda:0')
tensor([1.1393], device='cuda:0')
tensor([1.1389], device='cuda:0')
tensor([1.1389], device='cuda:0')
tensor([1.1371], device='cuda:0')
tensor([1.1367], device='cuda:0')
tensor([1.1378], device='cuda:0')
tensor([1.1378], device='cuda:0')
tensor([1.1382], device='cuda:0')
tensor([1.1366], device='cuda:0')
tensor([1.1364], device='cuda:0')
tensor([1.1371], device='cuda:0')
tensor([1.1362], device='cuda:0')
tensor([1.1362], device='cuda:0')
tensor([1.1363], device='cuda:0')
tensor([1.1348], device='cuda:0')
tensor([1.1356], device='cuda:0')
tensor([1.1342], device='cuda:0')
tensor([1.1342], device='cuda:0')
tensor([1.1342], device='cuda:0')
tensor([1.1342], device='cuda:0')
tensor([1.1329], device='cuda:0')
tensor([1.1311], device='cuda:0')
tensor([1.1298], device='cuda:0')
tensor([1.1298], device='cuda:0')
tensor([1.1289], device='cuda:0')
tensor([1.1289], device='cuda:0')
tensor([1.1289], device='cuda:0')
tensor([1.1289], device='cuda:0')
tensor([1.1284], device='cuda:0')
tensor([1.1284], device='cuda:0')
tensor([1.1284], device='cuda:0')
tensor([1.1284], device='cuda:0')
tensor([1.1289], device='cuda:0')
tensor([1.1289], device='cuda:0')
tensor([1.1245], device='cuda:0')
