tensor([12.8640], device='cuda:1')
tensor([12.6166], device='cuda:1')
tensor([11.9641], device='cuda:1')
tensor([11.3939], device='cuda:1')
tensor([10.6594], device='cuda:1')
tensor([8.8913], device='cuda:1')
tensor([8.6477], device='cuda:1')
tensor([8.9383], device='cuda:1')
tensor([9.4533], device='cuda:1')
tensor([8.1343], device='cuda:1')
tensor([9.7442], device='cuda:1')
tensor([5.5263], device='cuda:1')
tensor([4.3681], device='cuda:1')
tensor([2.8712], device='cuda:1')
tensor([2.5874], device='cuda:1')
tensor([2.5868], device='cuda:1')
tensor([2.5883], device='cuda:1')
tensor([2.5863], device='cuda:1')
tensor([2.5971], device='cuda:1')
tensor([2.6007], device='cuda:1')
tensor([2.5906], device='cuda:1')
tensor([2.5963], device='cuda:1')
tensor([2.5894], device='cuda:1')
tensor([2.5944], device='cuda:1')
tensor([2.5912], device='cuda:1')
tensor([2.5717], device='cuda:1')
tensor([2.5854], device='cuda:1')
tensor([2.5747], device='cuda:1')
tensor([2.5816], device='cuda:1')
tensor([2.5849], device='cuda:1')
tensor([2.5782], device='cuda:1')
tensor([2.5744], device='cuda:1')
tensor([2.5609], device='cuda:1')
tensor([2.5789], device='cuda:1')
tensor([2.5703], device='cuda:1')
tensor([2.5763], device='cuda:1')
tensor([2.5630], device='cuda:1')
tensor([2.5699], device='cuda:1')
tensor([2.5473], device='cuda:1')
tensor([2.5495], device='cuda:1')
tensor([2.5508], device='cuda:1')
tensor([2.5431], device='cuda:1')
tensor([2.5425], device='cuda:1')
tensor([2.5458], device='cuda:1')
tensor([2.5602], device='cuda:1')
tensor([2.5476], device='cuda:1')
tensor([2.5552], device='cuda:1')
tensor([2.5483], device='cuda:1')
tensor([2.5471], device='cuda:1')
tensor([2.5430], device='cuda:1')
tensor([2.5544], device='cuda:1')
tensor([2.5465], device='cuda:1')
tensor([2.5633], device='cuda:1')
tensor([2.5627], device='cuda:1')
tensor([2.5570], device='cuda:1')
tensor([2.5527], device='cuda:1')
tensor([2.5508], device='cuda:1')
tensor([2.5569], device='cuda:1')
tensor([2.5604], device='cuda:1')
tensor([2.5539], device='cuda:1')
tensor([2.5560], device='cuda:1')
tensor([2.5460], device='cuda:1')
tensor([2.5434], device='cuda:1')
tensor([2.5427], device='cuda:1')
tensor([2.5516], device='cuda:1')
tensor([2.5519], device='cuda:1')
tensor([2.5504], device='cuda:1')
tensor([2.5430], device='cuda:1')
tensor([2.5432], device='cuda:1')
tensor([2.5417], device='cuda:1')
tensor([2.5402], device='cuda:1')
tensor([2.5385], device='cuda:1')
tensor([2.5428], device='cuda:1')
tensor([2.5433], device='cuda:1')
tensor([2.5426], device='cuda:1')
tensor([2.5407], device='cuda:1')
tensor([2.5408], device='cuda:1')
tensor([2.5444], device='cuda:1')
tensor([2.5402], device='cuda:1')
tensor([2.5427], device='cuda:1')
tensor([2.5435], device='cuda:1')
tensor([2.5403], device='cuda:1')
tensor([2.5319], device='cuda:1')
tensor([2.5242], device='cuda:1')
tensor([2.5258], device='cuda:1')
tensor([2.5320], device='cuda:1')
tensor([2.5281], device='cuda:1')
tensor([2.5268], device='cuda:1')
tensor([2.5264], device='cuda:1')
tensor([2.5330], device='cuda:1')
tensor([2.5317], device='cuda:1')
tensor([2.5379], device='cuda:1')
tensor([2.5221], device='cuda:1')
tensor([2.5221], device='cuda:1')
tensor([2.5324], device='cuda:1')
tensor([2.5357], device='cuda:1')
tensor([2.5450], device='cuda:1')
tensor([2.5403], device='cuda:1')
tensor([2.5430], device='cuda:1')
tensor([2.5444], device='cuda:1')
tensor([2.5400], device='cuda:1')
tensor([2.5399], device='cuda:1')
tensor([2.5230], device='cuda:1')
tensor([2.5237], device='cuda:1')
tensor([2.5249], device='cuda:1')
tensor([2.5237], device='cuda:1')
tensor([2.5237], device='cuda:1')
tensor([2.5123], device='cuda:1')
tensor([2.5190], device='cuda:1')
tensor([2.5116], device='cuda:1')
tensor([2.5200], device='cuda:1')
tensor([2.5040], device='cuda:1')
