tensor([5.2292], device='cuda:0')
tensor([31.4296], device='cuda:0')
tensor([19.9767], device='cuda:0')
tensor([9.7411], device='cuda:0')
tensor([11.5625], device='cuda:0')
tensor([8.3561], device='cuda:0')
tensor([6.9011], device='cuda:0')
tensor([5.1900], device='cuda:0')
tensor([5.7743], device='cuda:0')
tensor([6.1332], device='cuda:0')
tensor([6.5037], device='cuda:0')
tensor([6.0975], device='cuda:0')
tensor([5.7734], device='cuda:0')
tensor([5.7297], device='cuda:0')
tensor([5.6534], device='cuda:0')
tensor([6.3521], device='cuda:0')
tensor([6.7226], device='cuda:0')
tensor([6.0286], device='cuda:0')
tensor([7.8036], device='cuda:0')
tensor([6.6758], device='cuda:0')
tensor([6.1833], device='cuda:0')
tensor([6.9559], device='cuda:0')
tensor([5.0877], device='cuda:0')
tensor([4.6667], device='cuda:0')
tensor([4.5969], device='cuda:0')
tensor([4.6078], device='cuda:0')
tensor([4.6173], device='cuda:0')
tensor([4.6075], device='cuda:0')
tensor([4.5844], device='cuda:0')
tensor([4.5599], device='cuda:0')
tensor([4.5571], device='cuda:0')
tensor([4.5629], device='cuda:0')
tensor([4.4562], device='cuda:0')
tensor([4.4169], device='cuda:0')
tensor([4.4084], device='cuda:0')
tensor([4.3569], device='cuda:0')
tensor([4.3250], device='cuda:0')
tensor([4.3080], device='cuda:0')
tensor([4.1773], device='cuda:0')
tensor([4.2772], device='cuda:0')
tensor([4.2070], device='cuda:0')
tensor([4.2060], device='cuda:0')
tensor([4.1866], device='cuda:0')
tensor([4.0947], device='cuda:0')
tensor([3.9805], device='cuda:0')
tensor([4.0884], device='cuda:0')
tensor([4.0668], device='cuda:0')
tensor([3.9731], device='cuda:0')
tensor([3.9712], device='cuda:0')
tensor([3.9572], device='cuda:0')
tensor([4.0183], device='cuda:0')
tensor([3.9446], device='cuda:0')
tensor([3.9142], device='cuda:0')
tensor([3.9330], device='cuda:0')
tensor([3.9408], device='cuda:0')
tensor([3.9115], device='cuda:0')
tensor([3.9321], device='cuda:0')
tensor([3.8699], device='cuda:0')
tensor([3.9076], device='cuda:0')
tensor([3.9343], device='cuda:0')
tensor([3.9802], device='cuda:0')
tensor([3.8479], device='cuda:0')
tensor([3.8715], device='cuda:0')
tensor([3.8346], device='cuda:0')
tensor([3.8654], device='cuda:0')
tensor([3.8242], device='cuda:0')
tensor([3.9097], device='cuda:0')
tensor([3.8327], device='cuda:0')
tensor([3.8599], device='cuda:0')
tensor([3.8348], device='cuda:0')
tensor([3.7605], device='cuda:0')
tensor([3.7934], device='cuda:0')
tensor([3.7733], device='cuda:0')
tensor([3.7423], device='cuda:0')
tensor([3.7695], device='cuda:0')
tensor([3.7642], device='cuda:0')
tensor([3.7588], device='cuda:0')
tensor([3.7463], device='cuda:0')
tensor([3.7333], device='cuda:0')
tensor([3.7465], device='cuda:0')
tensor([3.6902], device='cuda:0')
tensor([3.7306], device='cuda:0')
tensor([3.7052], device='cuda:0')
tensor([3.7296], device='cuda:0')
tensor([3.6986], device='cuda:0')
tensor([3.6837], device='cuda:0')
tensor([3.6920], device='cuda:0')
tensor([3.7081], device='cuda:0')
tensor([3.6981], device='cuda:0')
tensor([3.6766], device='cuda:0')
tensor([3.6726], device='cuda:0')
tensor([3.6604], device='cuda:0')
tensor([3.6671], device='cuda:0')
tensor([3.6678], device='cuda:0')
tensor([3.6288], device='cuda:0')
tensor([3.6198], device='cuda:0')
tensor([3.6029], device='cuda:0')
tensor([3.6270], device='cuda:0')
tensor([3.5903], device='cuda:0')
tensor([3.5764], device='cuda:0')
tensor([3.5743], device='cuda:0')
tensor([3.6030], device='cuda:0')
tensor([3.5819], device='cuda:0')
tensor([3.5742], device='cuda:0')
tensor([3.5747], device='cuda:0')
tensor([3.5970], device='cuda:0')
tensor([3.5834], device='cuda:0')
tensor([3.5648], device='cuda:0')
tensor([3.5600], device='cuda:0')
